incident code,customer company group,customer company,create date-time,resolution date-time,incident status,incident description,support group,tower group,domain group,priority,resolution description,assigned organization,inc.category,last modified date,inc type,inc element,aging,localizacion cliente,departamento cliente
INC000001515375,IBERIA,IBERIA,14/04/2021 11:00,,Assigned,Fallo Software:Problemas para iniciar sesión y editar en línea ONEDRIVE y TEAMS,MICROSOFT OFFICE365,EUC,EUC,Media,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,2021-04-23T00:00:00Z,SOFTWARE FAILURE,,17,NEO-MARTINEZ VILLERGAS 49,"PROC. VENTA, SOPORTE Y CO (AC0EV1)"
INC000001515336,IBERIA,IBERIA,14/04/2021 10:49,,Assigned,Fallo Software: Error en iniciar sesion en el ordenador,MICROSOFT ACTIVE DIRECTORY,Server Tower,Server Tower,Media,,Unidad de Operaciones Ordenadores,INCIDENT,2021-04-16T00:00:00Z,SOFTWARE FAILURE,,17,HANGAR 6,TMA MECANICA. PROD CAD5 H (AMIRD0HA)
INC000001515314,IBERIA,IBERIA,14/04/2021 09:29,,Assigned,Fallo Software: Error en arranque,MICROSOFT ACTIVE DIRECTORY,Server Tower,Server Tower,Baja,,Unidad de Operaciones Ordenadores,INCIDENT,2021-04-29T00:00:00Z,SOFTWARE FAILURE,,17,SIN IDENTIFICAR (NUEVA ZONA INDUSTRIAL),LINEA PRODUCCIÓN ELECTRIC (AMICN0AF)
INC000001514992,IBERIA,IBERIA,13/04/2021 16:37,,Assigned,Control-M Server: Shout by orderno: 0005ju0t F49OBIM2,FINANCE-SUPPORT-ELS,Delivery,Delivery,Baja,,Mantenimiento Financiero,INCIDENT,2021-04-13T00:00:00Z,SOFTWARE FAILURE,,18,MANDOS,U.OPERACIONES ORDENADORES (ASXA00)
INC000001514922,IBERIA,IBERIA,13/04/2021 17:54,,Assigned,[ICC002] SALESFORCE SERVICE CLOUD,Soporte Externo Salesforce Service,Delivery,Delivery,Media,,Mantenimiento Comercial y CRM,INCIDENT,2021-04-14T00:00:00Z,SOFTWARE FAILURE,,18,NEO-MARTINEZ VILLERGAS 49,CRM & MARKETING AUTOMATIO (BCLCI0)
INC000001514918,IBERIA,IBERIA,13/04/2021 19:05,,Assigned,Service Account Doesnt Work,MICROSOFT ACTIVE DIRECTORY,Server Tower,Server Tower,Media,,Unidad de Operaciones Ordenadores,INCIDENT,2021-04-19T00:00:00Z,SOFTWARE FAILURE,,18,SIN IDENTIFICAR,MNG. SOPOR. APLI. Y CENT. (ASXAG1)
INC000001514914,IBERIA,IBERIA,13/04/2021 17:36,,Pending,Fallo Software: Se abren y cierran solos TEAMS y APPS y no responden,IAG SITA Support,EUC,EUC,Baja,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,2021-04-29T00:00:00Z,SOFTWARE FAILURE,,18,TERMINAL T4,ASIST.AVION_MOV._SERV.AUX (AHMDR02X)
INC000001514882,IBERIA,IBERIA,13/04/2021 14:54,,Assigned,Fallo Software:Problema en envio de correos desde direccion de helpdesk funcional,MICROSOFT ACTIVE DIRECTORY,Server Tower,Server Tower,Media,,Unidad de Operaciones Ordenadores,INCIDENT,2021-04-29T00:00:00Z,SOFTWARE FAILURE,,18,SIN IDENTIFICAR,
INC000001514854,IBERIA,IBERIA,13/04/2021 13:28,,Assigned,"[NDCSUPPORT]Error en airshopping no controlado, respuesta de QPX 400 aeropuerto no existe",NDC - DESARROLLO ELS - GARANTIA,Delivery,Ib.com,Baja,https://transform.atlassian.net/browse/NDC-15989,MANTENIMIENTO IB.COM,INCIDENT,2021-04-22T00:00:00Z,SOFTWARE FAILURE,APPLICATION ERROR,18,SIN IDENTIFICAR,
INC000001514799,IBERIA,IBERIA,13/04/2021 12:39,,Assigned,[SEG010] Usuario fallo sincronía,MICROSOFT ACTIVE DIRECTORY,Server Tower,Server Tower,Baja,Usuario no localizable tras 3 intentos,Unidad de Operaciones Ordenadores,INCIDENT,2021-04-19T00:00:00Z,ACCESS FAILURE,PASSWORD,18,SIN IDENTIFICAR (NUEVA ZONA INDUSTRIAL),LINEA PROD.HIDRAULICO (AMICM0AA)
INC000001514796,IBERIA,IBERIA,13/04/2021 12:26,,Pending,[FCM001] (BR-IBE-86951) fallo Carga de PMS múltiples,FNO-MANTENIMIENTO TERCEROS,Application Tower,FLIGHT OPERATIONS,Media,,Mantenimiento Operaciones,INCIDENT,2021-04-14T00:00:00Z,SOFTWARE FAILURE,,18,NEO-MARTINEZ VILLERGAS 49,CCO OP. Y PLANIF. TÁCTICA (AVOC00)
